Date,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG
1/2/2018,59.45050049,135.9894409,144.836731,23.28043365,53.66049957,119.3429642,90.68125153,181.4199982,27.57100487,77.15387726
1/3/2018,60.20999908,136.1972656,145.4967346,22.96876907,54.57600021,120.483017,90.77365112,184.6699982,27.77529144,77.06026459
1/4/2018,60.47949982,138.067688,146.3308105,22.64535332,54.7879982,120.4744263,92.07403564,184.3300018,27.83582306,77.60497284
1/5/2018,61.45700073,140.249939,146.9541779,22.45718002,55.51449966,121.4687271,91.4829483,186.8500061,27.8887825,77.65603638
1/8/2018,62.34349823,143.7743378,147.6782837,22.6982708,55.71049881,121.6230316,91.61806488,188.2799988,27.57857704,78.0645752
1/9/2018,62.63499832,144.120697,151.7939606,22.43953705,55.63949966,123.5516281,92.08250427,187.8699951,27.54830742,77.49432373
1/10/2018,62.71649933,143.6358032,151.1889801,22.31604958,55.50699997,123.4059372,93.09577942,187.8399963,27.59370232,77.00067139
1/11/2018,63.83399963,146.5194244,153.4989014,22.58654213,55.60250092,124.1087723,93.59398651,187.7700043,27.66179848,76.72831726
1/12/2018,65.26000214,147.4719849,155.1854858,22.57478714,56.53250122,124.9402618,95.13923645,179.3699951,27.64666557,76.26869965
1/16/2018,65.24299622,146.6146698,153.5722046,22.62182617,56.53499985,125.8830948,94.80149078,178.3899994,27.69206429,76.78787231
1/17/2018,64.75,145.9132233,153.4713745,22.98640823,56.95500183,125.9859848,95.40943146,177.6000061,28.13090324,77.62197876
1/18/2018,64.66600037,146.1990051,153.9021912,22.69238853,56.79850006,125.9345551,95.63743591,179.8000031,27.98714638,77.33896637
1/19/2018,64.72899628,148.252182,156.1204529,22.32780647,57.17499924,126.3117218,95.4263382,181.2899933,27.9493084,78.10223389
1/22/2018,66.3655014,148.6697388,156.1754608,22.37485313,58.20800018,126.9803391,96.54096222,185.3699951,27.94174957,78.80545807
1/23/2018,68.1269989,147.3995819,154.5988464,22.65711021,58.80849838,121.5716324,96.43964386,189.3500061,27.8585186,76.36988068
1/24/2018,67.87550354,146.4513092,155.4604492,22.46893692,58.5644989,121.7773132,97.6724472,186.5500031,27.94174957,75.73525238
1/25/2018,68.89749908,147.3473663,155.0296783,22.74531174,59.10699844,123.7745132,97.69778442,187.4799957,28.16872978,75.76099396
1/26/2018,70.10250092,145.337738,157.1929321,22.85116577,59.37799835,124.5716629,98.22132111,190,29.51550484,75.23783875
1/29/2018,70.88400269,141.4402618,155.0754852,22.5395031,59.32400131,123.157341,98.11997986,185.9799957,29.52307129,74.49172974
1/30/2018,71.89099884,142.4668121,154.4613647,22.51597977,58.86849976,122.0858917,97.19960785,187.1199951,28.59999466,74.56890869
1/31/2018,72.54450226,141.6142578,152.545578,22.64535332,59.11100006,118.4515228,97.6724472,186.8899994,28.02497292,74.04576874
2/1/2018,69.5,141.1444855,153.8563995,22.25136757,59.07949829,120.0201416,98.68575287,193.0899963,28.1242466,73.62554169
2/2/2018,71.49749756,137.012085,151.2073059,22.18079567,55.95999908,118.0143433,96.49874115,190.2799988,27.95625305,72.25337982
2/5/2018,69.5,131.4355621,143.9292755,21.71037292,53.11949921,111.7656326,91.87138367,181.2599945,26.47481918,69.51758575
2/6/2018,72.14199829,136.0725403,148.384079,21.445755,54.2215004,112.9999695,94.66637421,185.3099976,26.94062424,70.64965057
2/7/2018,70.83899689,134.2716827,147.9807892,21.25758171,52.77050018,112.6484985,95.30814362,180.1799927,26.71154594,70.1865387
2/8/2018,67.52500153,127.0073929,140.8493805,21.15761948,50.38550186,108.3112793,91.09453583,171.5800018,25.68065071,68.79721069
2/9/2018,66.98000336,129.8087006,142.0134583,21.67509079,52.31349945,111.0284576,92.91844177,176.1100006,26.0853672,68.53992462
2/12/2018,69.31150055,132.4882507,145.9366913,21.85738182,52.72800064,111.6627731,94.35394287,176.4100037,26.46718025,69.74915314
2/13/2018,70.72550201,133.9497833,147.8524475,21.76329041,52.70700073,111.3970718,94.93658447,173.1499939,26.68100548,69.8949585
2/14/2018,72.55249786,137.5079651,149.6673889,21.72470665,53.63499832,111.1484985,97.1320343,179.5200043,26.87190247,69.19169617
2/15/2018,73.08799744,139.1783295,152.9030609,22.25892448,54.56800079,112.4856567,97.53734589,179.9600067,27.26898384,70.67537689
2/16/2018,72.43450165,135.9681244,155.3138275,22.42512131,54.77500153,114.131424,96.83647919,177.3600006,27.68898201,70.83831787
2/20/2018,73.41750336,135.3330231,151.0331726,22.36577034,55.17950058,112.1770554,96.86183167,176.0099945,27.49808121,69.75772858
2/21/2018,74.14600372,135.0459595,148.5765839,21.99775505,55.6875,111.3542099,97.26714325,177.9100037,27.30717087,68.8143692
2/22/2018,74.26699829,138.203949,150.4739838,22.10459137,55.49499893,111.3542099,97.08982849,178.9900055,27.29189301,69.32891846
2/23/2018,75,141.2923584,152.3806152,22.69816971,56.40449905,113.1628189,99.05729675,183.2899933,27.68898201,69.50901031
2/26/2018,76.09750366,142.4059296,153.4989014,22.57351494,57.18500137,113.9305954,100.2901154,184.9299927,28.32278824,70.00643921
2/27/2018,75.59899902,140.2919159,149.9423676,22.10459137,55.87549973,113.5855026,99.09951019,181.4600067,28.10134315,69.07165527
2/28/2018,75.62249756,134.5240173,147.4582672,21.9858799,55.19599915,112.0413742,97.52891541,178.3200073,27.72716522,67.3392868
3/1/2018,74.67250061,130.6960602,143.7367859,21.92652321,53.57049942,109.7984619,95.7809906,175.9400024,27.20789146,67.49365997
